"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Cotton Tom","$35050","$35050","$0","Candidate (R-AR04)","Republican","Cand","House"
"Dold Bob","$11800","$11800","$0","Candidate (R-IL10)","Republican","Cand","House"
"Himes Jim","$10400","$10400","$0","Candidate (D-CT04)","Democrat","Cand","House"
"Daines Steven","$10100","$10100","$0","Candidate (R-MT01)","Republican","Cand","House"
"Cassidy Bill","$7800","$7800","$0","Candidate (R-LA06)","Republican","Cand","House"
"Gerlach Jim","$6000","$6000","$0","Candidate (R-PA06)","Republican","Cand","House"
"Stefanik Elise","$5700","$5700","$0","Candidate (R-NY21)","Republican","Cand","House"
"McSally Martha","$5200","$5200","$0","Candidate (R-AZ02)","Republican","Cand","House"
"Esty Elizabeth","$5200","$5200","$0","Candidate (D-CT05)","Democrat","Cand","House"
"Gardner Cory","$5200","$5200","$0","Candidate (R-CO04)","Republican","Cand","House"
"Kinzinger Adam","$4600","$4600","$0","Candidate (R-IL16)","Republican","Cand","House"
"Stivers Steve","$4600","$4600","$0","Candidate (R-OH15)","Republican","Cand","House"
"Senger Darlene","$2600","$2600","$0","Candidate (R-IL11)","Republican","Cand","House"
"McCall Matt","$2600","$2600","$0","Candidate (R-TX21)","Republican","Cand","House"
"Shimkus John","$2600","$2600","$0","Candidate (R-IL15)","Republican","Cand","House"
"Cantor Eric","$2600","$2600","$0","Candidate (R-VA07)","Republican","Cand","House"
"Davis Rodney","$2600","$2600","$0","Candidate (R-IL13)","Republican","Cand","House"
"Westerman Bruce","$2600","$2600","$0","Candidate (R-AR04)","Republican","Cand","House"
"Boehner John","$2600","$2600","$0","Candidate (R-OH08)","Republican","Cand","House"
"Hultgren Randy","$2600","$2600","$0","Candidate (R-IL14)","Republican","Cand","House"
"Bost Mike","$2600","$2600","$0","Candidate (R-IL12)","Republican","Cand","House"
"Comstock Barbara","$2600","$2600","$0","Candidate (R-VA10)","Republican","Cand","House"
"Roskam Peter","$2600","$2600","$0","Candidate (R-IL06)","Republican","Cand","House"
"Schock Aaron","$2600","$2600","$0","Candidate (R-IL18)","Republican","Cand","House"
"Duffy Sean P","$1500","$1500","$0","Candidate (R-WI07)","Republican","Cand","House"
"Capito Shelley Moore","$1500","$1500","$0","Candidate (R-WV02)","Republican","Cand","House"
"Hayworth Nan","$1000","$1000","$0","Candidate (R-NY18)","Republican","Cand","House"
"Quigley Mike","$1000","$1000","$0","Candidate (D-IL05)","Democrat","Cand","House"
"Khanna Ro","$500","$500","$0","Candidate (D-CA17)","Democrat","Cand","House"
"Aiken Clay","$500","$500","$0","Candidate (D-NC02)","Democrat","Cand","House"
"Schneider Brad","$250","$250","$0","Candidate (D-IL10)","Democrat","Cand","House"
